index,Full_name,Nationality
712,Ricardo Rodriguez,Switzerland
713,Michel Aebischer,Switzerland
714,Djibril Sow,Switzerland
715,Christian Fassnacht,Switzerland
716,Ruben Vargas,Switzerland
717,Eray Cömert,Switzerland
718,Noah Okafor,Switzerland
719,Fabian Frei,Switzerland
720,Gregor Kobel,Switzerland
721,Fabian Schär,Switzerland
722,Xherdan Shaqiri,Switzerland
723,Philipp Köhn,Switzerland
724,Fabian Rieder,Switzerland
725,Ardon Jashari,Switzerland
726,Lawrence Ati-Zigi,Ghana
727,Tariq Lamptey,Ghana
728,Denis Odoi,Ghana
729,Mohammed Salisu,Ghana
730,Thomas Partey,Ghana
731,Elisha Owusu,Ghana
732,Abdul Fatawu Issahaku,Ghana
733,Daniel-Kofi Kyereh,Ghana
734,Jordan Ayew,Ghana
735,André Ayew,Ghana
736,Osman Bukari,Ghana
737,Ibrahim Danlad,Ghana
738,Daniel Afriyie,Ghana
739,Gideon Mensah,Ghana
740,Joseph Aidoo,Ghana
741,Abdul Manaf Nurudeen,Ghana
742,Baba Rahman,Ghana
743,Daniel Amartey,Ghana
744,Iñaki Williams,Ghana
745,Mohammed Kudus,Ghana
746,Salis Abdul Samed,Ghana
747,Kamaldeen Sulemana,Ghana
748,Alexander Djiku,Ghana
749,Kamal Sowah,Ghana
750,Antoine Semenyo,Ghana
751,Alidu Seidu,Ghana
752,Rui Patrício,Portugal
753,Diogo Dalot,Portugal
754,Pepe,Portugal
755,Rúben Dias,Portugal
756,Raphaël Guerreiro,Portugal
757,João Palhinha,Portugal
758,Cristiano Ronaldo,Portugal
759,Bruno Fernandes,Portugal
760,André Silva,Portugal
761,Bernardo Silva,Portugal
762,João Félix,Portugal
763,José Sá,Portugal
764,Danilo Pereira,Portugal
765,William Carvalho,Portugal
766,Rafael Leão,Portugal
767,Vitinha,Portugal
768,João Mário,Portugal
769,Rúben Neves,Portugal
770,Nuno Mendes,Portugal
771,João Cancelo,Portugal
772,Ricardo Horta,Portugal
773,Diogo Costa,Portugal
774,Matheus Nunes,Portugal
775,António Silva,Portugal
776,Otávio,Portugal
777,Gonçalo Ramos,Portugal
778,Gue Sung Cho,South Korea
779,Yu Min Cho ,South Korea
780,Chul Hong,South Korea
781,Hee Chan Hwang,South Korea
782,In Beom Hwang ,South Korea
783,Ui Jo Hwang,South Korea
784,Woo Yeong Jeong,South Korea
785,Hyeon Woo Jo,South Korea
786,Woo Yeong Jeong,South Korea
787,Kim Jin Su,South Korea
788,Kim Min Jae,South Korea
789,Moon Hwan Kim,South Korea
790,Seung Gyu Kim,South Korea
791,Tae Hwan Kim,South Korea
792,Young Gwon Kim,South Korea
793,Chang Hoon Kwon,South Korea
794,Kyung Won Kwon,South Korea
795,Jae Sung Lee,South Korea
796,Kang In Lee,South Korea
797,Sang Ho Na,South Korea
798,Seung Ho Paik,South Korea
799,Heung Min Son,South Korea
800,Jun Ho Son,South Korea
801,Bum Keun Song,South Korea
802,Min Kyu Song,South Korea
803,Jong Gyu Yoon,South Korea
804,Fernando Muslera,Uruguay
805,José Giménez,Uruguay
806,Diego Godín,Uruguay
807,Ronald Araújo,Uruguay
808,Matías Vecino,Uruguay
809,Rodrigo Bentancur,Uruguay
810,Nicolás de la Cruz,Uruguay
811,Facundo Pellistri,Uruguay
812,Luis Suárez,Uruguay
813,Giorgian de Arrascaeta,Uruguay
814,Darwin Núñez,Uruguay
815,Sebastián Sosa,Uruguay
816,Guillermo Varela,Uruguay
817,Lucas Torreira,Uruguay
818,Federico Valverde,Uruguay
819,Mathías Olivera,Uruguay
820,Matías Viña,Uruguay
821,Maxi Gómez,Uruguay
822,Sebastián Coates,Uruguay
823,Facundo Torres,Uruguay
824,Edinson Cavani,Uruguay
825,Martín Cáceres,Uruguay
826,Sergio Rochet,Uruguay
827,Agustín Canobbio,Uruguay
828,Manuel Ugarte,Uruguay
829,José Luis Rodríguez,Uruguay
