index,Full_name,Nationality,is_ovr,Overall,Potential,Age,Position,is_time,played_time
215,Julián Álvarez,Argentina,1,78,86,22,CAM,1,576
216,Lionel Messi,Argentina,1,91,91,35,CAM,1,2852
217,Ángel Di María,Argentina,1,84,84,34,RW,1,1551
218,Gerónimo Rulli,Argentina,1,82,82,30,GK,1,270
219,Cristian Romero,Argentina,1,83,88,24,CB,1,1224
220,Exequiel Palacios,Argentina,1,78,83,23,CM,1,482
221,Ángel Correa,Argentina,1,83,84,27,CF,1,366
222,Thiago Almada,Argentina,1,76,87,21,CAM,1,36
223,Papu Gómez,Argentina,0,0,0,0,0,0,0
224,Guido Rodríguez,Argentina,1,81,82,27,CDM,1,741
225,Nicolás Otamendi,Argentina,1,81,81,34,CB,0,0
226,Alexis Mac Allister,Argentina,1,76,82,23,CAM,1,460
227,Paulo Dybala,Argentina,1,86,86,28,CAM,1,182
228,Lautaro Martínez,Argentina,1,86,90,24,ST,1,2258
229,Emiliano Martínez,Argentina,1,84,84,29,GK,1,1880
230,Enzo Fernández,Argentina,1,78,87,21,CM,1,99
231,Lisandro Martínez,Argentina,1,81,86,24,CDM,1,755
232,Nahuel Molina,Argentina,1,78,84,24,RWB,1,1857
233,Alfredo Talavera,Mexico,1,79,79,39,GK,1,0
234,Néstor Araujo,Mexico,0,0,0,0,0,0,0
235,César Montes,Mexico,1,77,82,25,CB,1,889
236,Edson Álvarez,Mexico,1,80,84,24,CB,1,821
237,Johan Vásquez,Mexico,1,72,81,23,CB,1,360
238,Gerardo Arteaga,Mexico,1,72,79,23,LWB,1,317
239,Luis Romo,Mexico,1,76,77,27,CM,1,448
240,Carlos Rodríguez,Mexico,1,76,81,25,CAM,1,684
241,Raúl Jiménez,Mexico,1,82,82,31,ST,1,688
242,Alexis Vega,Mexico,1,77,83,24,CAM,1,440
243,Rogelio Funes Mori,Mexico,0,0,0,0,0,0,0
244,Rodolfo Cota,Mexico,1,76,76,34,GK,1,0
245,Guillermo Ochoa,Mexico,1,80,80,36,GK,1,1260
246,Érick Gutiérrez,Mexico,1,76,77,27,CM,1,110
247,Héctor Moreno,Mexico,1,76,76,34,CB,1,371
248,Héctor Herrera,Mexico,1,80,80,32,CM,1,827
249,Orbelín Pineda,Mexico,1,76,77,26,LW,1,314
250,Andrés Guardado,Mexico,1,77,77,35,CM,1,352
251,Jorge Sánchez,Mexico,1,76,82,24,RB,1,635
252,Henry Martín,Mexico,1,76,76,29,ST,1,155
253,Uriel Antuna,Mexico,1,75,77,24,RM,1,221
254,Hirving Lozano,Mexico,1,81,81,26,RW,1,741
255,Jesús Gallardo,Mexico,1,75,75,27,LB,1,880
256,Luis Chávez,Mexico,0,0,0,0,0,0,0
257,Roberto Alvarado,Mexico,0,0,0,0,0,0,0
258,Kevin Álvarez,Mexico,0,0,0,0,0,0,0
259,Wojciech Szczęsny,Poland,1,86,86,32,GK,1,856
260,Matty Cash,Poland,1,79,84,24,RWB,0,0
261,Artur Jędrzejczyk,Poland,1,69,69,34,CB,1,0
262,Mateusz Wieteska,Poland,1,68,73,25,CB,1,0
263,Jan Bednarek,Poland,1,76,80,26,CB,1,630
264,Krystian Bielik,Poland,1,71,75,24,CDM,1,90
265,Arkadiusz Milik,Poland,1,79,79,28,ST,1,290
266,Damian Szymański,Poland,1,71,72,27,CM,1,116
267,Robert Lewandowski,Poland,1,91,91,33,ST,1,715
268,Grzegorz Krychowiak,Poland,1,78,78,32,CDM,1,625
269,Kamil Grosicki,Poland,1,73,73,34,LM,1,41
270,Łukasz Skorupski,Poland,1,76,76,31,GK,1,44
271,Jakub Kamiński,Poland,1,71,83,20,RM,1,90
272,Jakub Kiwior,Poland,1,71,78,22,CB,1,90
273,Kamil Glik,Poland,1,71,71,34,CB,1,652
274,Karol Świderski,Poland,1,74,79,25,ST,1,393
275,Szymon Żurkowski,Poland,1,76,81,24,RM,1,0
276,Bartosz Bereszyński,Poland,1,73,73,29,RB,1,478
277,Sebastian Szymański,Poland,1,74,83,23,LM,1,149
278,Piotr Zieliński,Poland,1,83,83,28,CAM,1,557
279,Nicola Zalewski,Poland,1,74,86,20,RM,1,24
280,Kamil Grabara,Poland,1,73,79,23,GK,1,0
281,Krzysztof Piątek,Poland,1,75,76,27,ST,1,332
282,Przemysław Frankowski,Poland,1,76,77,27,RM,1,255
283,Robert Gumny,Poland,1,71,76,24,RWB,1,90
284,Michał Skóraś,Poland,1,68,78,22,RM,1,0
285,Mohammed Al Rubaie,Saudi Arabia,0,0,0,0,0,0,0
286,Sultan Al Ghannam,Saudi Arabia,1,72,72,28,RB,0,0
287,Abdullah Madu,Saudi Arabia,1,66,67,28,CB,1,877
288,Abdulelah Al Amri,Saudi Arabia,1,71,76,25,CB,1,57
289,Ali Al Bulaihi,Saudi Arabia,0,0,0,0,0,0,0
290,Mohammed Al Breik,Saudi Arabia,0,0,0,0,0,0,0
291,Salman Al Faraj,Saudi Arabia,0,0,0,0,0,0,0
292,Abdulellah Al Malki,Saudi Arabia,0,0,0,0,0,0,0
